Site,Distance,Especie,Exp_amplitude,Obs_amplitude,Tree_Density,Canopy_Cover,Slope,Colors
2,60,Sp3,-65.463,-44.7,0.05,85.17,18.7,blueviolet
3,60,Sp3,-65.463,-55,0.09,93.24,4.9,red3
4,60,Sp3,-65.463,-52.4,0.01,80.7,5.9,green3
5,60,Sp3,-65.463,-45.3,0.08,87.73,8.2,orange
6,60,Sp3,-65.463,-49.6,0,49.2,2.9,gray40
1,80,Sp3,-67.962,-58.7,0.13,96.24,28.08,blue3
2,80,Sp3,-67.962,-44.7,0.05,93.09,15.08,blueviolet
3,80,Sp3,-67.962,-56.8,0.09,95.11,7.3,red3
4,80,Sp3,-67.962,-59.5,0.06,89.44,4.8,green3
5,80,Sp3,-67.962,-49.3,0.05,88.37,9,orange
6,80,Sp3,-67.962,-56.1,0,27.11,2,gray40
1,100,Sp3,-69.9,-100,0.06,92.08,22.5,blue3
2,100,Sp3,-69.9,-50.3,0.03,94.7,19.15,blueviolet
3,100,Sp3,-69.9,-62.1,0.09,91.88,3.85,red3
4,100,Sp3,-69.9,-59.8,0.06,91.63,3.85,green3
5,100,Sp3,-69.9,-51.9,0.09,90.77,11.1,orange
6,100,Sp3,-69.9,-58.3,0,0.4,1.9,gray40
1,5,Sp4,-43.479,-43.7,0.08,89.65,6.05,blue3
2,5,Sp4,-43.479,-28.4,0.06,88.93,8.9,blueviolet
3,5,Sp4,-43.479,-30.5,0.06,93.62,5.63,red3
4,5,Sp4,-43.479,-30.7,0.01,84.68,5.63,green3
5,5,Sp4,-43.479,-35.5,0.01,93.97,6.25,orange
6,5,Sp4,-43.479,-26.4,0.03,18.82,3.75,gray40
1,20,Sp4,-51.221,-54.8,0.1,85.37,15.75,blue3
2,20,Sp4,-51.221,-50.2,0.11,89.17,15.68,blueviolet
3,20,Sp4,-51.221,-50.3,0.03,91.08,6.65,red3
4,20,Sp4,-51.221,-45,0.03,50.51,6.65,green3
5,20,Sp4,-51.221,-51.5,0.06,95.21,6.18,orange
6,20,Sp4,-51.221,-41.8,0.01,29.81,3.05,gray40
1,40,Sp4,-57.241,-64.2,0.04,93.99,3.8,blue3
2,40,Sp4,-57.241,-63.5,0.05,91.46,17.4,blueviolet
3,40,Sp4,-57.241,-56.9,0.05,92.56,6.85,red3
4,40,Sp4,-57.241,-51,0.01,47.24,6.85,green3
5,40,Sp4,-57.241,-55.8,0.05,95.06,8.2,orange
6,40,Sp4,-57.241,-49.5,0.01,34.31,2.2,gray40
1,60,Sp4,-60.763,-100,0.06,90.63,25.75,blue3
2,60,Sp4,-60.763,-63.8,0.05,85.17,18.7,blueviolet
3,60,Sp4,-60.763,-69.3,0.09,93.24,4.9,red3
4,60,Sp4,-60.763,-68.5,0.01,80.7,5.9,green3
5,60,Sp4,-60.763,-56.7,0.08,87.73,8.2,orange
6,60,Sp4,-60.763,-55.2,0,49.2,2.9,gray40
1,80,Sp4,-63.262,-100,0.13,96.24,28.08,blue3
2,80,Sp4,-63.262,-68.7,0.05,93.09,15.08,blueviolet
3,80,Sp4,-63.262,-75.2,0.09,95.11,7.3,red3
4,80,Sp4,-63.262,-100,0.06,89.44,4.8,green3
5,80,Sp4,-63.262,-66.4,0.05,88.37,9,orange
6,80,Sp4,-63.262,-67.4,0,27.11,2,gray40
1,100,Sp4,-65.2,-100,0.06,92.08,22.5,blue3
2,100,Sp4,-65.2,-74.6,0.03,94.7,19.15,blueviolet
3,100,Sp4,-65.2,-100,0.09,91.88,3.85,red3
4,100,Sp4,-65.2,-100,0.06,91.63,3.85,green3
5,100,Sp4,-65.2,-67.7,0.09,90.77,11.1,orange
6,100,Sp4,-65.2,-66.7,0,0.4,1.9,gray40
1,5,Sp5,-35.479,-42.5,0.08,89.65,6.05,blue3
2,5,Sp5,-35.479,-44.4,0.06,88.93,8.9,blueviolet
3,5,Sp5,-35.479,-35.6,0.06,93.62,5.63,red3
4,5,Sp5,-35.479,-30.9,0.01,84.68,5.63,green3
5,5,Sp5,-35.479,-35.7,0.01,93.97,6.25,orange
6,5,Sp5,-35.479,-29.9,0.03,18.82,3.75,gray40
1,20,Sp5,-51.221,-50,0.1,85.37,15.75,blue3
2,20,Sp5,-51.221,-51.5,0.11,89.17,15.68,blueviolet
3,20,Sp5,-51.221,-49.4,0.03,91.08,6.65,red3
4,20,Sp5,-51.221,-38.9,0.03,50.51,6.65,green3
5,20,Sp5,-51.221,-55.2,0.06,95.21,6.18,orange
6,20,Sp5,-51.221,-37.1,0.01,29.81,3.05,gray40
1,40,Sp5,-57.241,-58,0.04,93.99,3.8,blue3
2,40,Sp5,-57.241,-60.4,0.05,91.46,17.4,blueviolet
3,40,Sp5,-57.241,-53.3,0.05,92.56,6.85,red3
4,40,Sp5,-57.241,-50.6,0.01,47.24,6.85,green3
5,40,Sp5,-57.241,-53,0.05,95.06,8.2,orange
6,40,Sp5,-57.241,-51.8,0.01,34.31,2.2,gray40
1,60,Sp5,-60.763,-64,0.06,90.63,25.75,blue3
2,60,Sp5,-60.763,-63.9,0.05,85.17,18.7,blueviolet
3,60,Sp5,-60.763,-63.6,0.09,93.24,4.9,red3
4,60,Sp5,-60.763,-59.3,0.01,80.7,5.9,green3
5,60,Sp5,-60.763,-60.7,0.08,87.73,8.2,orange
6,60,Sp5,-60.763,-46.7,0,49.2,2.9,gray40
1,80,Sp5,-63.262,-100,0.13,96.24,28.08,blue3
2,80,Sp5,-63.262,-61.8,0.05,93.09,15.08,blueviolet
3,80,Sp5,-63.262,-100,0.09,95.11,7.3,red3
4,80,Sp5,-63.262,-67,0.06,89.44,4.8,green3
5,80,Sp5,-63.262,-60.3,0.05,88.37,9,orange
6,80,Sp5,-63.262,-51.8,0,27.11,2,gray40
1,100,Sp5,-65.2,-100,0.06,92.08,22.5,blue3
2,100,Sp5,-65.2,-65.4,0.03,94.7,19.15,blueviolet
3,100,Sp5,-65.2,-100,0.09,91.88,3.85,red3
4,100,Sp5,-65.2,-71,0.06,91.63,3.85,green3
5,100,Sp5,-65.2,-57.5,0.09,90.77,11.1,orange
6,100,Sp5,-65.2,-57.8,0,0.4,1.9,gray40
1,5,Sp6,-35.379,-32.5,0.08,89.65,6.05,blue3
2,5,Sp6,-35.379,-26.2,0.06,88.93,8.9,blueviolet
3,5,Sp6,-35.379,-22.1,0.06,93.62,5.63,red3
4,5,Sp6,-35.379,-23.9,0.01,84.68,5.63,green3
5,5,Sp6,-35.379,-21.4,0.01,93.97,6.25,orange
6,5,Sp6,-35.379,-22.3,0.03,18.82,3.75,gray40
1,20,Sp6,-47.421,-39.5,0.1,85.37,15.75,blue3
2,20,Sp6,-47.421,-42.1,0.11,89.17,15.68,blueviolet
3,20,Sp6,-47.421,-41.1,0.03,91.08,6.65,red3
4,20,Sp6,-47.421,-33.6,0.03,50.51,6.65,green3
5,20,Sp6,-47.421,-42.7,0.06,95.21,6.18,orange
6,20,Sp6,-47.421,-37.4,0.01,29.81,3.05,gray40
1,40,Sp6,-53.441,-52.2,0.04,93.99,3.8,blue3
2,40,Sp6,-53.441,-53.2,0.05,91.46,17.4,blueviolet
3,40,Sp6,-53.441,-46.5,0.05,92.56,6.85,red3
4,40,Sp6,-53.441,-42.4,0.01,47.24,6.85,green3
5,40,Sp6,-53.441,-43.9,0.05,95.06,8.2,orange
6,40,Sp6,-53.441,-53.3,0.01,34.31,2.2,gray40
1,60,Sp6,-56.963,-62.2,0.06,90.63,25.75,blue3
2,60,Sp6,-56.963,-52,0.05,85.17,18.7,blueviolet
3,60,Sp6,-56.963,-58.9,0.09,93.24,4.9,red3
4,60,Sp6,-56.963,-58.7,0.01,80.7,5.9,green3
5,60,Sp6,-56.963,-48.2,0.08,87.73,8.2,orange
6,60,Sp6,-56.963,-48.3,0,49.2,2.9,gray40
1,80,Sp6,-59.462,-65.2,0.13,96.24,28.08,blue3
2,80,Sp6,-59.462,-55.6,0.05,93.09,15.08,blueviolet
3,80,Sp6,-59.462,-64.6,0.09,95.11,7.3,red3
4,80,Sp6,-59.462,-68.2,0.06,89.44,4.8,green3
5,80,Sp6,-59.462,-57.2,0.05,88.37,9,orange
6,80,Sp6,-59.462,-57.4,0,27.11,2,gray40
1,100,Sp6,-61.4,-100,0.06,92.08,22.5,blue3
2,100,Sp6,-61.4,-61.8,0.03,94.7,19.15,blueviolet
3,100,Sp6,-61.4,-73.2,0.09,91.88,3.85,red3
4,100,Sp6,-61.4,-70.8,0.06,91.63,3.85,green3
5,100,Sp6,-61.4,-58.1,0.09,90.77,11.1,orange
6,100,Sp6,-61.4,-57.9,0,0.4,1.9,gray40
1,5,Sp7,-42.679,-29.9,0.08,89.65,6.05,blue3
2,5,Sp7,-42.679,-26.7,0.06,88.93,8.9,blueviolet
3,5,Sp7,-42.679,-26.7,0.06,93.62,5.63,red3
4,5,Sp7,-42.679,-28.3,0.01,84.68,5.63,green3
5,5,Sp7,-42.679,-24.8,0.01,93.97,6.25,orange
6,5,Sp7,-42.679,-25.7,0.03,18.82,3.75,gray40
1,20,Sp7,-54.721,-38.2,0.1,85.37,15.75,blue3
2,20,Sp7,-54.721,-36.9,0.11,89.17,15.68,blueviolet
3,20,Sp7,-54.721,-43.5,0.03,91.08,6.65,red3
4,20,Sp7,-54.721,-41.3,0.03,50.51,6.65,green3
5,20,Sp7,-54.721,-47.6,0.06,95.21,6.18,orange
6,20,Sp7,-54.721,-37.9,0.01,29.81,3.05,gray40
1,40,Sp7,-60.741,-49.5,0.04,93.99,3.8,blue3
2,40,Sp7,-60.741,-49.8,0.05,91.46,17.4,blueviolet
3,40,Sp7,-60.741,-55.1,0.05,92.56,6.85,red3
4,40,Sp7,-60.741,-55,0.01,47.24,6.85,green3
5,40,Sp7,-60.741,-41.3,0.05,95.06,8.2,orange
6,40,Sp7,-60.741,-48,0.01,34.31,2.2,gray40
1,60,Sp7,-64.263,-56.3,0.06,90.63,25.75,blue3
2,60,Sp7,-64.263,-49.2,0.05,85.17,18.7,blueviolet
3,60,Sp7,-64.263,-59.3,0.09,93.24,4.9,red3
4,60,Sp7,-64.263,-56.1,0.01,80.7,5.9,green3
5,60,Sp7,-64.263,-51.3,0.08,87.73,8.2,orange
6,60,Sp7,-64.263,-54.1,0,49.2,2.9,gray40
1,80,Sp7,-66.762,-57.9,0.13,96.24,28.08,blue3
2,80,Sp7,-66.762,-49.6,0.05,93.09,15.08,blueviolet
3,80,Sp7,-66.762,-61.7,0.09,95.11,7.3,red3
4,80,Sp7,-66.762,-60.7,0.06,89.44,4.8,green3
5,80,Sp7,-66.762,-50.8,0.05,88.37,9,orange
6,80,Sp7,-66.762,-58.4,0,27.11,2,gray40
1,100,Sp7,-68.7,-100,0.06,92.08,22.5,blue3
2,100,Sp7,-68.7,-53.4,0.03,94.7,19.15,blueviolet
3,100,Sp7,-68.7,-65.7,0.09,91.88,3.85,red3
4,100,Sp7,-68.7,-100,0.06,91.63,3.85,green3
5,100,Sp7,-68.7,-58.3,0.09,90.77,11.1,orange
6,100,Sp7,-68.7,-100,0,0.4,1.9,gray40
1,5,Sp8,-48.979,-47.9,0.08,89.65,6.05,blue3
2,5,Sp8,-48.979,-29.3,0.06,88.93,8.9,blueviolet
3,5,Sp8,-48.979,-33.3,0.06,93.62,5.63,red3
4,5,Sp8,-48.979,-32.8,0.01,84.68,5.63,green3
5,5,Sp8,-48.979,-35.3,0.01,93.97,6.25,orange
6,5,Sp8,-48.979,-34.5,0.03,18.82,3.75,gray40
1,20,Sp8,-61.021,-51.2,0.1,85.37,15.75,blue3
2,20,Sp8,-61.021,-48.9,0.11,89.17,15.68,blueviolet
3,20,Sp8,-61.021,-49,0.03,91.08,6.65,red3
4,20,Sp8,-61.021,-41.6,0.03,50.51,6.65,green3
5,20,Sp8,-61.021,-58.3,0.06,95.21,6.18,orange
6,20,Sp8,-61.021,-39.3,0.01,29.81,3.05,gray40
1,40,Sp8,-67.041,-100,0.04,93.99,3.8,blue3
2,40,Sp8,-67.041,-63.2,0.05,91.46,17.4,blueviolet
3,40,Sp8,-67.041,-61.5,0.05,92.56,6.85,red3
4,40,Sp8,-67.041,-51.1,0.01,47.24,6.85,green3
5,40,Sp8,-67.041,-55.7,0.05,95.06,8.2,orange
6,40,Sp8,-67.041,-51.6,0.01,34.31,2.2,gray40
1,60,Sp8,-70.563,-100,0.06,90.63,25.75,blue3
2,60,Sp8,-70.563,-70,0.05,85.17,18.7,blueviolet
3,60,Sp8,-70.563,-75.2,0.09,93.24,4.9,red3
4,60,Sp8,-70.563,-70.5,0.01,80.7,5.9,green3
5,60,Sp8,-70.563,-62.5,0.08,87.73,8.2,orange
6,60,Sp8,-70.563,-62,0,49.2,2.9,gray40
1,80,Sp8,-73.062,-100,0.13,96.24,28.08,blue3
2,80,Sp8,-73.062,-69.1,0.05,93.09,15.08,blueviolet
3,80,Sp8,-73.062,-100,0.09,95.11,7.3,red3
4,80,Sp8,-73.062,-100,0.06,89.44,4.8,green3
5,80,Sp8,-73.062,-69.1,0.05,88.37,9,orange
6,80,Sp8,-73.062,-70,0,27.11,2,gray40
1,100,Sp8,-75,-100,0.06,92.08,22.5,blue3
2,100,Sp8,-75,-75.8,0.03,94.7,19.15,blueviolet
3,100,Sp8,-75,-100,0.09,91.88,3.85,red3
4,100,Sp8,-75,-100,0.06,91.63,3.85,green3
5,100,Sp8,-75,-70.7,0.09,90.77,11.1,orange
6,100,Sp8,-75,-68.8,0,0.4,1.9,gray40
1,5,Sp9,-30.079,-28.6,0.08,89.65,6.05,blue3
2,5,Sp9,-30.079,-20.4,0.06,88.93,8.9,blueviolet
3,5,Sp9,-30.079,-18.6,0.06,93.62,5.63,red3
4,5,Sp9,-30.079,-21.9,0.01,84.68,5.63,green3
5,5,Sp9,-30.079,-12,0.01,93.97,6.25,orange
6,5,Sp9,-30.079,-26.1,0.03,18.82,3.75,gray40
1,20,Sp9,-42.121,-28.9,0.1,85.37,15.75,blue3
2,20,Sp9,-42.121,-39.1,0.11,89.17,15.68,blueviolet
3,20,Sp9,-42.121,-28.9,0.03,91.08,6.65,red3
4,20,Sp9,-42.121,-32.3,0.03,50.51,6.65,green3
5,20,Sp9,-42.121,-32.1,0.06,95.21,6.18,orange
6,20,Sp9,-42.121,-39,0.01,29.81,3.05,gray40
1,40,Sp9,-48.141,-44.7,0.04,93.99,3.8,blue3
2,40,Sp9,-48.141,-46.6,0.05,91.46,17.4,blueviolet
3,40,Sp9,-48.141,-40.9,0.05,92.56,6.85,red3
4,40,Sp9,-48.141,-45.8,0.01,47.24,6.85,green3
5,40,Sp9,-48.141,-33.3,0.05,95.06,8.2,orange
6,40,Sp9,-48.141,-42.9,0.01,34.31,2.2,gray40
1,60,Sp9,-51.663,-55,0.06,90.63,25.75,blue3
2,60,Sp9,-51.663,-49.1,0.05,85.17,18.7,blueviolet
3,60,Sp9,-51.663,-48.3,0.09,93.24,4.9,red3
4,60,Sp9,-51.663,-47.7,0.01,80.7,5.9,green3
5,60,Sp9,-51.663,-40.7,0.08,87.73,8.2,orange
6,60,Sp9,-51.663,-44.8,0,49.2,2.9,gray40
1,80,Sp9,-54.162,-58.1,0.13,96.24,28.08,blue3
2,80,Sp9,-54.162,-49.1,0.05,93.09,15.08,blueviolet
3,80,Sp9,-54.162,-58.1,0.09,95.11,7.3,red3
4,80,Sp9,-54.162,-55,0.06,89.44,4.8,green3
5,80,Sp9,-54.162,-48.4,0.05,88.37,9,orange
6,80,Sp9,-54.162,-47.4,0,27.11,2,gray40
1,100,Sp9,-56.1,-100,0.06,92.08,22.5,blue3
2,100,Sp9,-56.1,-49,0.03,94.7,19.15,blueviolet
3,100,Sp9,-56.1,-61,0.09,91.88,3.85,red3
4,100,Sp9,-56.1,-60.8,0.06,91.63,3.85,green3
5,100,Sp9,-56.1,-49.9,0.09,90.77,11.1,orange
6,100,Sp9,-56.1,-54.7,0,0.4,1.9,gray40
1,5,Sp10,-17.479,-12.2,0.08,89.65,6.05,blue3
2,5,Sp10,-17.479,-6.2,0.06,88.93,8.9,blueviolet
3,5,Sp10,-17.479,-12.6,0.06,93.62,5.63,red3
4,5,Sp10,-17.479,-7.4,0.01,84.68,5.63,green3
5,5,Sp10,-17.479,-7.7,0.01,93.97,6.25,orange
6,5,Sp10,-17.479,-6,0.03,18.82,3.75,gray40
1,20,Sp10,-29.521,-12.3,0.1,85.37,15.75,blue3
2,20,Sp10,-29.521,-16.5,0.11,89.17,15.68,blueviolet
3,20,Sp10,-29.521,-25.1,0.03,91.08,6.65,red3
4,20,Sp10,-29.521,-22.2,0.03,50.51,6.65,green3
5,20,Sp10,-29.521,-26.3,0.06,95.21,6.18,orange
6,20,Sp10,-29.521,-18.3,0.01,29.81,3.05,gray40
1,40,Sp10,-35.541,-31.4,0.04,93.99,3.8,blue3
2,40,Sp10,-35.541,-27.6,0.05,91.46,17.4,blueviolet
3,40,Sp10,-35.541,-34.3,0.05,92.56,6.85,red3
4,40,Sp10,-35.541,-34.7,0.01,47.24,6.85,green3
5,40,Sp10,-35.541,-18.7,0.05,95.06,8.2,orange
6,40,Sp10,-35.541,-24.9,0.01,34.31,2.2,gray40
1,60,Sp10,-39.063,-35.2,0.06,90.63,25.75,blue3
2,60,Sp10,-39.063,-29.4,0.05,85.17,18.7,blueviolet
3,60,Sp10,-39.063,-36.3,0.09,93.24,4.9,red3
4,60,Sp10,-39.063,-35.1,0.01,80.7,5.9,green3
5,60,Sp10,-39.063,-30.8,0.08,87.73,8.2,orange
6,60,Sp10,-39.063,-34.3,0,49.2,2.9,gray40
1,80,Sp10,-41.562,-45.5,0.13,96.24,28.08,blue3
2,80,Sp10,-41.562,-28.4,0.05,93.09,15.08,blueviolet
3,80,Sp10,-41.562,-39.9,0.09,95.11,7.3,red3
4,80,Sp10,-41.562,-42.8,0.06,89.44,4.8,green3
5,80,Sp10,-41.562,-33.4,0.05,88.37,9,orange
6,80,Sp10,-41.562,-39.9,0,27.11,2,gray40
1,100,Sp10,-43.5,-100,0.06,92.08,22.5,blue3
2,100,Sp10,-43.5,-34.7,0.03,94.7,19.15,blueviolet
3,100,Sp10,-43.5,-44.8,0.09,91.88,3.85,red3
4,100,Sp10,-43.5,-42.8,0.06,91.63,3.85,green3
5,100,Sp10,-43.5,-35.4,0.09,90.77,11.1,orange
6,100,Sp10,-43.5,-40.3,0,0.4,1.9,gray40
