DÍA,FECHA,PRECIP_mm
267,24/09/2013,2.8
268,25/09/2013,42.4
269,26/09/2013,0
270,27/09/2013,0
271,28/09/2013,0
272,29/09/2013,0
273,30/09/2013,0
274,01/10/2013,5.7
275,02/10/2013,0
276,03/10/2013,0
277,04/10/2013,11.8
278,05/10/2013,0
279,06/10/2013,17.3
280,07/10/2013,2.8
281,08/10/2013,0.6
282,09/10/2013,0
283,10/10/2013,1.8
284,11/10/2013,0
285,12/10/2013,0
286,13/10/2013,0
287,14/10/2013,0
288,15/10/2013,9
289,16/10/2013,0
290,17/10/2013,30.1
291,18/10/2013,0
292,19/10/2013,45.1
293,20/10/2013,10.4
294,21/10/2013,0
295,22/10/2013,25
296,23/10/2013,0
297,24/10/2013,0
298,25/10/2013,1.3
299,26/10/2013,7.6
300,27/10/2013,1.8
301,28/10/2013,10.8
302,29/10/2013,0.2
303,30/10/2013,0
304,31/10/2013,0
305,01/11/2013,6
306,02/11/2013,4.2
307,03/11/2013,3.3
308,04/11/2013,1.2
309,05/11/2013,0
310,06/11/2013,0
311,07/11/2013,0
312,08/11/2013,18.1
313,09/11/2013,0.6
314,10/11/2013,0.4
315,11/11/2013,2.5
316,12/11/2013,0.9
317,13/11/2013,0
318,14/11/2013,1
319,15/11/2013,0.6
320,16/11/2013,0.2
321,17/11/2013,0
322,18/11/2013,69.3
323,19/11/2013,6.5
324,20/11/2013,0
325,21/11/2013,0.1
326,22/11/2013,0
327,23/11/2013,4.9
328,24/11/2013,0.9
329,25/11/2013,0.1
330,26/11/2013,11.7
331,27/11/2013,7.2
332,28/11/2013,0
333,29/11/2013,2.5
334,30/11/2013,0
335,01/12/2013,0
336,02/12/2013,0
337,03/12/2013,0
338,04/12/2013,0
339,05/12/2013,0
340,06/12/2013,0
341,07/12/2013,3.8
342,08/12/2013,0
343,09/12/2013,0
344,10/12/2013,1.2
345,11/12/2013,0
346,12/12/2013,3.1
347,13/12/2013,0.2
348,14/12/2013,0.8
